Indice;Data de Referencia;Numero Indice;Variacao Diaria (%);Variacao no Mes (%);Variacao no Ano (%);Variacao 12 Meses (%);Variacao 24 Meses (%);Duration (d.u.);PMR
IMA-B;2019-01-02;6240,024303;0,4352;0,4352;0,4352;12,971;27,2708;1984,0;1984,0
IMA-B;2019-01-03;6269,792372;0,4771;0,9144;0,9144;13,1949;28,1305;1993,0;1993,0
IMA-B;2019-01-04;6302,765314;0,5259;1,4451;1,4451;13,5271;29,2056;2009,0;2009,0
IMA-B;2019-01-07;6301,331505;-0,0227;1,422;1,422;13,5926;29,1829;2009,0;2009,0
IMA-B;2019-01-08;6309,586255;0,131;1,5549;1,5549;13,5384;29,3522;2011,0;2011,0
IMA-B;2019-01-09;6352,211208;0,6756;2,2409;2,2409;14,199;30,2529;2028,0;2028,0
IMA-B;2019-01-10;6357,362892;0,0811;2,3238;2,3238;14,0076;30,203;2029,0;2029,0
IMA-B;2019-01-11;6363,23589;0,0924;2,4184;2,4184;13,7728;30,5659;2030,0;2030,0
IMA-B;2019-01-14;6389,072264;0,406;2,8342;2,8342;13,9691;28,6827;2038,0;2038,0
IMA-B;2019-01-15;6385,115354;-0,0619;2,7705;2,7705;13,7967;28,603;2035,0;2035,0
IMA-B;2019-01-16;6390,058589;0,0774;2,8501;2,8501;13,8448;28,3051;2035,0;2035,0
IMA-B;2019-01-17;6395,619724;0,087;2,9396;2,9396;13,9428;28,3558;2035,0;2035,0
IMA-B;2019-01-18;6399,400988;0,0591;3,0005;3,0005;13,8839;28,9714;2035,0;2035,0
IMA-B;2019-01-21;6401,464966;0,0323;3,0337;3,0337;13,9254;29,0043;2034,0;2034,0
IMA-B;2019-01-22;6408,404071;0,1084;3,1454;3,1454;14,1265;29,1441;2032,0;2032,0
IMA-B;2019-01-23;6420,017773;0,1812;3,3323;3,3323;14,483;29,4416;2033,0;2033,0
IMA-B;2019-01-24;6411,682606;-0,1298;3,1981;3,1981;13,4331;28,893;2028,0;2028,0
IMA-B;2019-01-25;6413,761022;0,0324;3,2316;3,2316;13,4293;28,8782;2027,0;2027,0
IMA-B;2019-01-28;6412,98663;-0,0121;3,2191;3,2191;12,7353;28,7946;2025,0;2025,0
IMA-B;2019-01-29;6436,211995;0,3622;3,593;3,593;13,2048;29,2611;2032,0;2032,0
IMA-B;2019-01-30;6445,09511;0,138;3,7359;3,7359;13,477;29,9311;2036,0;2036,0
